대분류,중분류,소분류,세부기능,기능 설명,우선순위,현재 구현 여부
대시보드,핵심 지표,팬 현황,총 팬 수,현재 채널을 구독하고 있는 전체 팬 수 표시,High,X
대시보드,핵심 지표,팬 현황,신규 팬,최근 7일/30일간 새로 가입한 팬 수,High,X
대시보드,핵심 지표,팬 현황,멤버십 팬 수,유료 멤버십에 가입한 팬 수 및 비율,High,X
대시보드,핵심 지표,수익 현황,이번 달 총 수익,당월 발생한 모든 수익의 합계,High,X
대시보드,핵심 지표,수익 현황,전월 대비 증감률,지난 달 대비 수익 증가/감소 비율,High,X
대시보드,핵심 지표,콘텐츠 성과,총 조회수,전체 콘텐츠의 누적 조회수,Medium,X
대시보드,핵심 지표,콘텐츠 성과,평균 참여율,"조회수 대비 좋아요, 댓글 등의 참여 비율",Medium,X
대시보드,핵심 지표,커뮤니티 활동,댓글 수,최근 기간 동안 작성된 총 댓글 수,Medium,X
대시보드,핵심 지표,커뮤니티 활동,팬톡 활성도,팬톡 채팅방의 메시지 수 및 참여자 수,Medium,X
대시보드,실시간 활동,새로운 팬 가입,-,실시간으로 새로 가입한 팬 알림 표시(최근7일),High,X
대시보드,실시간 활동,새로운 후원/구매,-,실시간 후원 및 콘텐츠 구매 알림(최근7일),High,X
대시보드,실시간 활동,댓글 및 반응,-,"새로운 댓글, 좋아요 등의 반응 알림(최근7일)",Medium,X
대시보드,실시간 활동,멤버십 업그레이드,-,팬이 멤버십 등급을 올린 경우 알림(최근7일),Medium,X
대시보드,빠른 실행,새 콘텐츠 업로드,-,대시보드에서 바로 콘텐츠 업로드 화면으로 이동,High,X
대시보드,빠른 실행,공지사항 작성,-,팬들에게 공지사항을 빠르게 작성 및 발송,High,X
대시보드,빠른 실행,팬에게 메시지,-,전체 또는 특정 그룹 팬에게 메시지 발송,High,X
대시보드,빠른 실행,이벤트 생성,-,새로운 팬 이벤트를 빠르게 생성,Medium,X
대시보드,차트 및 그래프,팬 증가 추이,7일/30일/90일,기간별 팬 증가 추이를 그래프로 표시,High,X
대시보드,차트 및 그래프,수익 트렌드,-,시간별 수익 변화를 차트로 시각화,High,X
대시보드,차트 및 그래프,콘텐츠 성과 비교,-,최근 콘텐츠들의 성과를 비교 분석,Medium,X
대시보드,차트 및 그래프,멤버십 전환율,-,무료 팬이 유료 멤버십으로 전환하는 비율,Medium,X
분석,팬 분석,팬 현황,총 팬 수 추이,일별/주별/월별 팬 수 증가 추이 분석,High,X
분석,팬 분석,팬 현황,신규/기존 팬 비율,신규 팬과 기존 팬의 비율 및 변화 추이,High,X
분석,팬 분석,팬 현황,팬 이탈률 분석,팬이 구독을 해지하는 비율 및 이유 분석,High,X
분석,팬 분석,팬 현황,재방문율 통계,팬들이 채널에 재방문하는 빈도 분석,Medium,X
분석,팬 분석,팬 분포,멤버십 등급별 분포,각 멤버십 등급별 팬 수 분포 현황,High,X
분석,팬 분석,팬 분포,지역별 팬 분포,국가/지역별 팬 분포 현황 (IP 기반),Low,X
분석,팬 분석,팬 분포,연령/성별 통계,팬의 인구통계학적 분포 (제공 시),Low,X
분석,팬 분석,팬 분포,디바이스별 접속 현황,PC/모바일/태블릿/HMD 별 접속 비율,Medium,X
분석,팬 분석,팬 행동 패턴,접속 시간대 분석,팬들이 주로 접속하는 시간대 분석,Medium,X
분석,팬 분석,팬 행동 패턴,평균 체류시간,팬들이 채널에 머무는 평균 시간,Medium,X
분석,팬 분석,팬 행동 패턴,페이지 이동 경로,팬들의 채널 내 페이지 이동 패턴 분석,Low,X
분석,팬 분석,팬 행동 패턴,선호 콘텐츠 타입,팬들이 선호하는 콘텐츠 유형 분석,Medium,X
분석,콘텐츠 분석,콘텐츠 성과,조회수/좋아요 통계,"콘텐츠별 조회수, 좋아요 수 통계",High,X
분석,콘텐츠 분석,콘텐츠 성과,댓글 및 공유 분석,"댓글 수, 공유 횟수 등 참여도 분석",Medium,X
분석,콘텐츠 분석,콘텐츠 성과,콘텐츠 완주율,영상/오디오 콘텐츠의 완료 시청률,High,X
분석,콘텐츠 분석,콘텐츠 성과,인기 콘텐츠 랭킹,성과 지표별 인기 콘텐츠 순위,Medium,X
분석,콘텐츠 분석,XR 콘텐츠 특화,XR 체험 시간 분석,VR/AR 콘텐츠의 평균 체험 시간,Medium,X
분석,콘텐츠 분석,XR 콘텐츠 특화,XR 디바이스별 성과,디바이스별 XR 콘텐츠 이용 현황,Low,X
분석,콘텐츠 분석,콘텐츠 트렌드,시간대별 업로드 최적화,최적의 콘텐츠 업로드 시간대 분석,Medium,X
분석,콘텐츠 분석,콘텐츠 트렌드,카테고리별 성과 비교,콘텐츠 카테고리별 성과 비교 분석,Medium,X
분석,콘텐츠 분석,콘텐츠 트렌드,플레이리스트별 성과 비교,콘텐츠 플레이리스트별 성과 비교 분석,Medium,X
분석,콘텐츠 분석,콘텐츠 트렌드,해시태그 효과성,해시태그 사용에 따른 성과 차이 분석,Low,X
분석,수익 분석,수익 현황,총 수익 및 트렌드,전체 수익과 시간별 변화 추이,High,X
분석,수익 분석,수익 현황,수익원별 분석,멤버십/단건구매/후원/굿즈 별 수익 분석,High,X
분석,수익 분석,수익 현황,월별/일별 수익 추이,기간별 상세 수익 변화 분석,High,X
분석,수익 분석,수익 현황,수익 예측 모델,AI 기반 향후 수익 예측,Low,X
분석,수익 분석,멤버십 분석,등급별 수익 기여도,각 멤버십 등급이 전체 수익에 기여하는 비율,High,X
분석,수익 분석,멤버십 분석,멤버십 전환율,무료 팬이 유료 멤버십으로 전환하는 비율,High,X
분석,수익 분석,멤버십 분석,이탈률 및 갱신율,멤버십 해지율과 갱신율 추적,High,X
분석,수익 분석,멤버십 분석,LTV (고객 생애 가치),팬 1명이 가져다주는 평생 수익 계산,Medium,X
분석,수익 분석,상품 분석,베스트셀러 콘텐츠,가장 많이 팔린 콘텐츠 순위,Medium,X
분석,수익 분석,상품 분석,가격대별 판매 성과,가격 구간별 판매 실적 분석,Medium,X
분석,수익 분석,상품 분석,할인/프로모션 효과,할인 이벤트의 매출 증대 효과 측정,Medium,X
분석,수익 분석,상품 분석,번들 상품 성과,패키지 상품의 판매 성과 분석,Low,X
분석,수익 분석,후원 분석,후원 현황,후원 금액 집계,Low,X
분석,수익 분석,펀딩 분석,펀딩 현황,펀딩 프로젝트별 달성률 및 수익 분석,Medium,X
분석,수익 분석,펀딩 분석,프로젝트별 성과,펀딩 프로젝트별 성과 및 ROI 분석,Medium,X
분석,수익 분석,펀딩 분석,서포터 분석,펀딩 서포터 특성 및 참여 패턴 분석,Medium,X
콘텐츠 관리,콘텐츠 업로드,기본 업로드,파일 업로드,"이미지(360, 2D)/비디오(VR, 2D)/오디오 파일/XR TOUR 업로드",High,O
콘텐츠 관리,콘텐츠 업로드,기본 업로드,제목 및 설명 작성,콘텐츠 제목과 상세 설명 입력,High,O
콘텐츠 관리,콘텐츠 업로드,기본 업로드,썸네일 설정,콘텐츠 대표 이미지 설정,High,O
콘텐츠 관리,콘텐츠 업로드,기본 업로드,태그 및 카테고리 설정,검색 및 분류를 위한 태그 설정,Medium,X
콘텐츠 관리,콘텐츠 업로드,기본 업로드,플레이리스트 설정,관련 콘텐츠를 하나로 묶어서 관리 설정,Medium,X
콘텐츠 관리,콘텐츠 업로드,고급 설정,공개 범위 설정,전체/멤버십/특정 등급별 공개 설정,High,O
콘텐츠 관리,콘텐츠 업로드,고급 설정,예약 발행,특정 시간에 자동으로 콘텐츠 공개,Medium,X
콘텐츠 관리,콘텐츠 업로드,고급 설정,댓글 허용 여부,콘텐츠별 댓글 기능 on/off,Medium,O
콘텐츠 관리,콘텐츠 업로드,고급 설정,다운로드 허용 여부,팬의 콘텐츠 다운로드 허용/차단(이미지만),Medium,X
콘텐츠 관리,콘텐츠 목록,목록 보기,그리드/리스트 뷰 전환,콘텐츠를 그리드 또는 리스트로 보기,Medium,X
콘텐츠 관리,콘텐츠 목록,목록 보기,필터링,날짜/카테고리/상태별 필터 기능,High,O
콘텐츠 관리,콘텐츠 목록,목록 보기,검색 기능,"제목, 내용 기반 콘텐츠 검색",High,O
콘텐츠 관리,콘텐츠 목록,목록 보기,정렬 옵션,날짜/조회수/좋아요 순 정렬,Medium,X
콘텐츠 관리,콘텐츠 목록,일괄 관리,다중 선택,여러 콘텐츠를 한 번에 선택,Medium,O
콘텐츠 관리,콘텐츠 목록,일괄 관리,일괄 편집,"선택된 콘텐츠들의 정보 일괄 수정(공개 범위, 댓글 허용 여부만)",Medium,O
콘텐츠 관리,콘텐츠 목록,일괄 관리,일괄 삭제,선택된 콘텐츠들을 한 번에 삭제,Low,O
콘텐츠 관리,콘텐츠 목록,일괄 관리,일괄 카테고리 변경,선택된 콘텐츠들의 카테고리 일괄 변경,Low,X
콘텐츠 관리,콘텐츠 목록,일괄 관리,일괄 플레이리스트 변경,선택된 콘텐츠들의 플레이리스트 일괄 변경,Low,X
콘텐츠 관리,콘텐츠 목록,상태 관리,공개/비공개/예약,콘텐츠 공개 상태 관리,High,O
콘텐츠 관리,콘텐츠 목록,상태 관리,멤버십 전용 설정,특정 멤버십 등급만 볼 수 있는 콘텐츠 설정,High,O
콘텐츠 관리,카테고리 관리,-,카테고리 생성/편집/삭제,콘텐츠 분류를 위한 카테고리 관리,Low,X
콘텐츠 관리,카테고리 관리,-,카테고리 순서 변경,카테고리 표시 순서 조정,Low,X
콘텐츠 관리,플레이리스트 관리,-,플레이리스트 생성/편집/삭제,콘텐츠 묶음을 위한 플레이리스트 관리,Low,X
콘텐츠 관리,플레이리스트 관리,-,플레이리스트 순서 변경,플레이리스트 표시 순서 조정,Low,X
상품 & 수익,멤버십 관리,등급 설정,멤버십 등급 생성/편집,다양한 멤버십 등급 생성 및 수정,High,O
상품 & 수익,멤버십 관리,등급 설정,등급별 가격 설정,월간/연간 멤버십 가격 책정,High,O
상품 & 수익,멤버십 관리,등급 설정,등급별 혜택 설정,"각 등급별 제공 혜택 상세 설정(예: 독점 콘텐츠, 전용 게시판 접근)",High,O
상품 & 수익,멤버십 관리,등급 설정,등급 순서 및 표시 설정,멤버십 등급의 표시 순서 및 방식 설정,Medium,O
상품 & 수익,멤버십 관리,혜택 관리,콘텐츠 접근 권한,멤버십별 볼 수 있는 콘텐츠 권한 설정,High,O
상품 & 수익,멤버십 관리,혜택 관리,커뮤니티 특별 권한,"채팅, 댓글 등 커뮤니티 특별 권한",Medium,X
상품 & 수익,멤버십 관리,혜택 관리,할인 혜택,멤버십별 상품 할인 혜택 제공,Medium,X
상품 & 수익,멤버십 관리,혜택 관리,특별 이벤트 참여권,멤버십 전용 이벤트 참여 자격,Medium,X
상품 & 수익,멤버십 관리,멤버십 정책,무료 체험 기간,신규 가입자 무료 체험 기간 설정,Medium,X
상품 & 수익,멤버십 관리,멤버십 정책,멤버십 일시정지,멤버십 일시 중단 기능 제공,Low,X
상품 & 수익,상품 관리,단건 상품,개별 콘텐츠 판매 설정,콘텐츠별 개별 판매 가격 설정,High,O
상품 & 수익,상품 관리,단건 상품,할인 설정,기간 한정 할인 가격 설정,Medium,X
상품 & 수익,상품 관리,단건 상품,판매 기간 제한,한정 판매 기간 설정,Medium,X
상품 & 수익,상품 관리,단건 상품,사전 주문 관리,상품을 미리 판매할 수 있도록 설정,Medium,X
상품 & 수익,상품 관리,패키지,패키지 상품 설정,여러 콘텐츠를 묶은 패키지 상품 구성,Medium,X
상품 & 수익,상품 관리,패키지,묶음 할인,패키지 구매 시 할인 혜택,Medium,X
상품 & 수익,상품 관리,패키지,시즌 패스,시즌별 콘텐츠 이용권 판매,Low,X
